Dataset,32,64,96,128,160
dataSize-5M,224.4,168.8,202,195,237.4
dataSize-10M,294.4,203.6,219.4,207,248.2
dataSize-15M,276.6,219.4,222.8,241,247.6
dataSize-20M,328.6,258.4,271,251,257.8
dataSize-25M,326.6,291.2,255.2,292.2,261.2
dataSize-30M,321.8,318.6,287.6,291.8,271

